Date,Close
5/29/2018 16:00:00,13.33
5/30/2018 16:00:00,13.38
5/31/2018 16:00:00,13.19
6/1/2018 16:00:00,13.08
6/4/2018 16:00:00,12.9
6/5/2018 16:00:00,12.96
6/6/2018 16:00:00,12.94
6/7/2018 16:00:00,12.95
6/8/2018 16:00:00,13.02
6/11/2018 16:00:00,13.2
6/12/2018 16:00:00,13.16
6/13/2018 16:00:00,13.05
6/14/2018 16:00:00,13.17
6/15/2018 16:00:00,12.81
6/18/2018 16:00:00,12.84
6/19/2018 16:00:00,12.86
6/20/2018 16:00:00,12.82
6/21/2018 16:00:00,12.85
6/22/2018 16:00:00,13.04
6/25/2018 16:00:00,12.87
6/26/2018 16:00:00,12.75
6/27/2018 16:00:00,12.7
6/28/2018 16:00:00,12.7
6/29/2018 16:00:00,13.13
7/2/2018 16:00:00,13.12
7/3/2018 13:00:00,13.33
7/5/2018 16:00:00,13.47
7/6/2018 16:00:00,13.35
7/9/2018 16:00:00,13.27
7/10/2018 16:00:00,13.41
7/11/2018 16:00:00,12.92
7/12/2018 16:00:00,12.94
7/13/2018 16:00:00,12.91
7/16/2018 16:00:00,12.82
7/17/2018 16:00:00,12.66
7/18/2018 16:00:00,12.52
7/19/2018 16:00:00,12.34
7/20/2018 16:00:00,12.37
7/23/2018 16:00:00,11.81
7/24/2018 16:00:00,11.86
7/25/2018 16:00:00,11.82
7/26/2018 16:00:00,11.1
7/27/2018 16:00:00,11.23
7/30/2018 16:00:00,11.15
7/31/2018 16:00:00,11.19
8/1/2018 16:00:00,10.95
8/2/2018 16:00:00,10.94
8/3/2018 16:00:00,11.1
8/6/2018 16:00:00,11.01
8/7/2018 16:00:00,10.79
8/8/2018 16:00:00,10.92
8/9/2018 16:00:00,10.86
8/10/2018 16:00:00,10.83
8/13/2018 16:00:00,10.5
8/14/2018 16:00:00,10.41
8/15/2018 16:00:00,9.98
8/16/2018 16:00:00,9.86
8/17/2018 16:00:00,10.02
8/20/2018 16:00:00,10.14
8/21/2018 16:00:00,10.18
8/22/2018 16:00:00,10.38
8/23/2018 16:00:00,10.23
8/24/2018 16:00:00,10.46
8/27/2018 16:00:00,10.62
8/28/2018 16:00:00,10.62
8/29/2018 16:00:00,10.62
8/30/2018 16:00:00,10.47
8/31/2018 16:00:00,10.42
9/4/2018 16:00:00,9.84
9/5/2018 16:00:00,9.85
9/6/2018 16:00:00,9.92
9/7/2018 16:00:00,10.05
9/10/2018 16:00:00,9.76
9/11/2018 16:00:00,9.77
9/12/2018 16:00:00,10.08
9/13/2018 16:00:00,10.11
9/14/2018 16:00:00,10.11
9/17/2018 16:00:00,10.35
9/18/2018 16:00:00,10.48
9/19/2018 16:00:00,10.6
9/20/2018 16:00:00,10.62
9/21/2018 16:00:00,10.47
9/24/2018 16:00:00,11.04
9/25/2018 16:00:00,11.18
9/26/2018 16:00:00,10.85
9/27/2018 16:00:00,11.13
9/28/2018 16:00:00,11.08
10/1/2018 16:00:00,11.14
10/2/2018 16:00:00,11.69
10/3/2018 16:00:00,11.62
10/4/2018 16:00:00,11.65
10/5/2018 16:00:00,11.47
10/8/2018 16:00:00,11.41
10/9/2018 16:00:00,11.32
10/10/2018 16:00:00,11.5
10/11/2018 16:00:00,12.58
10/12/2018 16:00:00,12.47
10/15/2018 16:00:00,12.7
10/16/2018 16:00:00,12.75
10/17/2018 16:00:00,12.72
10/18/2018 16:00:00,13.16
10/19/2018 16:00:00,13.18
10/22/2018 16:00:00,13.09
10/23/2018 16:00:00,13.34
10/24/2018 16:00:00,13.11
10/25/2018 16:00:00,12.57
10/26/2018 16:00:00,12.85
10/29/2018 16:00:00,12.68
10/30/2018 16:00:00,12.71
10/31/2018 16:00:00,12.55
11/1/2018 16:00:00,13.34
11/2/2018 16:00:00,13.17
11/5/2018 16:00:00,13.21
11/6/2018 16:00:00,13.14
11/7/2018 16:00:00,12.98
11/8/2018 16:00:00,13.1
11/9/2018 16:00:00,12.91
11/12/2018 16:00:00,12.58
11/13/2018 16:00:00,12.43
11/14/2018 16:00:00,12.71
11/15/2018 16:00:00,12.99
11/16/2018 16:00:00,13.04
11/19/2018 16:00:00,13.09
11/20/2018 16:00:00,13.03
11/21/2018 16:00:00,13.46
11/23/2018 13:00:00,13.09
11/26/2018 16:00:00,13.03
11/27/2018 16:00:00,12.75
11/28/2018 16:00:00,13.05
11/29/2018 16:00:00,13.05
11/30/2018 16:00:00,12.75
12/3/2018 16:00:00,12.99
12/4/2018 16:00:00,13.13
12/6/2018 16:00:00,13.37
12/7/2018 16:00:00,13.68
12/10/2018 16:00:00,13.84
12/11/2018 16:00:00,13.6
12/12/2018 16:00:00,14.02
12/13/2018 16:00:00,14.11
12/14/2018 16:00:00,13.66
12/17/2018 16:00:00,13.65
12/18/2018 16:00:00,13.88
12/19/2018 16:00:00,12.88
12/20/2018 16:00:00,13.38
12/21/2018 16:00:00,13.12
12/24/2018 13:00:00,13.64
12/26/2018 16:00:00,13.65
12/27/2018 16:00:00,13.71
12/28/2018 16:00:00,13.12
12/31/2018 16:00:00,13.54
1/2/2019 16:00:00,13.1
1/3/2019 16:00:00,13
1/4/2019 16:00:00,13.09
1/7/2019 16:00:00,12.92
1/8/2019 16:00:00,12.34
1/9/2019 16:00:00,12.45
1/10/2019 16:00:00,12.36
1/11/2019 16:00:00,12.44
1/14/2019 16:00:00,12.3
1/15/2019 16:00:00,11.86
1/16/2019 16:00:00,11.85
1/17/2019 16:00:00,11.9
1/18/2019 16:00:00,11.79
1/22/2019 16:00:00,11.78
1/23/2019 16:00:00,11.77
1/24/2019 16:00:00,11.85
1/25/2019 16:00:00,12.25
1/28/2019 16:00:00,12.34
1/29/2019 16:00:00,12.93
1/30/2019 16:00:00,13.05
1/31/2019 16:00:00,13.39
2/1/2019 16:00:00,13.25
2/4/2019 16:00:00,13.35
2/5/2019 16:00:00,13.36
2/6/2019 16:00:00,13.24
2/7/2019 16:00:00,13.34
2/8/2019 16:00:00,13.62
2/11/2019 16:00:00,13.43
2/12/2019 16:00:00,13.37
2/13/2019 16:00:00,12.82
2/14/2019 16:00:00,12.91
2/15/2019 16:00:00,12.95
2/19/2019 16:00:00,13.55
2/20/2019 16:00:00,13.76
2/21/2019 16:00:00,13.32
2/22/2019 16:00:00,13.04
2/25/2019 16:00:00,12.61
2/26/2019 16:00:00,12.59
2/27/2019 16:00:00,12.5
2/28/2019 16:00:00,12.64
3/1/2019 16:00:00,12.31
3/4/2019 16:00:00,12.51
3/5/2019 16:00:00,12.7
3/6/2019 16:00:00,12.4
3/7/2019 16:00:00,12.63
3/8/2019 16:00:00,12.93
3/11/2019 16:00:00,13.18
3/12/2019 16:00:00,13.23
3/13/2019 16:00:00,13.35
3/14/2019 16:00:00,13.11
3/15/2019 16:00:00,13
3/18/2019 16:00:00,12.95
3/19/2019 16:00:00,12.84
3/20/2019 16:00:00,13.11
3/21/2019 16:00:00,13.28
3/22/2019 16:00:00,13.67
3/25/2019 16:00:00,14.27
3/26/2019 16:00:00,14.5
3/27/2019 16:00:00,14.25
3/28/2019 16:00:00,13.88
3/29/2019 16:00:00,13.71
4/1/2019 16:00:00,13.44
4/2/2019 16:00:00,13.46
4/3/2019 16:00:00,13.3
4/4/2019 16:00:00,13.56
4/5/2019 16:00:00,13.49
4/8/2019 16:00:00,13.52
4/9/2019 16:00:00,13.72
4/10/2019 16:00:00,13.59
4/11/2019 16:00:00,13.45
4/12/2019 16:00:00,13.42
4/15/2019 16:00:00,13.63
4/16/2019 16:00:00,13.29
4/17/2019 16:00:00,13.2
4/18/2019 16:00:00,13.22
4/22/2019 16:00:00,12.97
4/23/2019 16:00:00,12.81
4/24/2019 16:00:00,12.83
4/25/2019 16:00:00,12.84
4/26/2019 16:00:00,13
4/29/2019 16:00:00,12.66
4/30/2019 16:00:00,12.72
5/1/2019 16:00:00,12.59
5/2/2019 16:00:00,12.51
5/3/2019 16:00:00,12.59
